PRODUTO,OPERACAO
001137,133677
000682,133677
001103,133677
000685,133677
001273,133677
004096,133677
002858,133677
000706,133677
002309,133677
000337,133677
000701,136835
003376,136835
000105,136969
001726,136969
001034,136990
000474,136990
000928,136990
000191,137010
000714,137010
000711,137010
003167,137105
004283,137105
000794,137105
001552,137105
000785,137105
001227,137105
000861,137519
002782,137519
004363,137519
002047,137519
003934,137519
001399,137519
001204,137989
000007,137989
001035,138245
002857,138303
000782,138303
001962,138303
002421,138303
001084,138303
000632,138303
001892,138303
000428,138303
001435,138303
004557,138791
001921,138791
001731,138791
000748,138791
001029,138860
000426,138860
000773,138860
004425,139103
000345,140125
001611,140125
001487,140125
001164,140435
001035,141254
000780,141443
000780,141530
001901,141952
001356,141952
003776,142136
002613,142136
000780,135727
002509,142160
002472,142160
004282,142160
000294,142160
000639,142160
000295,142160
004167,142160
001490,142160
